content,score,Label
"Rank tertinggi gwe mitic 29,,bisa di bilng udh paham item,rotasi,masak di rank bisa ketemu tim rnk tertinggi master 5 yg kesimpulan nya itu player baru yg main ngasal,,gak bisa ngimbangin musuh nya jago,Sejago apapun player solo di kasi tim trol GK bkl bisa ngpa2in,, Masukan aj,kasi random yg sesuai minimal bisa main,,yg bisa ngimbangin musuh",2,Negatif
"Jaringan di di perbaiki jangn update terus Kon, ini juga dari system dikasih mulu ke gw, sedangkan musuh, jago2 semua tlol,",1,Negatif
Ini game seru tapi kenapa aku sering milih dyroth tapi setiap aku milih inspire tapi malah sering keganti jadi rebruratiun jadi diperbaiki ya,4,Positif
Perbaikan masalah jaringan pas lagi main/login aja sih Soal event udah bagus kok terutama di event skin epik gratisan selebihnya gak ada keluhan sih semoga kedepan monton sering adain event skin epik 🤭 oky bye bye! 🤗,4,Positif
"Setelah update 8th anniv, selesai draft pict selalu ada tulisan sinyal tidak terkoneksi....apalah...jdi telat msuk dlm game",1,Negatif
"Kalian kalau update yang benarlah, saya lagi war mcl jadi kalah gara gara sistem update. Saya minta pertanggung jawaban atas permasalahan ini karena mengganggu ketidaknyamanan saya bermain game ini. Akun saya @etpu_1703. Saya minta segera untuk dipertanggung jawabkan",1,Negatif
"loveee banget dehh samaaa inii gamee, yaa walaupun lag dikit padahal sinyalnya bagus tapi tetep bagus koo, semangat moonton!! jangan lupaaa event"" nyaaa yaa thank youuu💞💞",4,Positif
moonton anjk even gratis dll apalah gw dh nulis jaringan yah perbaiki update tiba-tiba kan gimana yh bikin game niat lh masa ada masa lah gak di atur Kya koneksi jaringan lah dll lh,1,Negatif
"Permainan di kasi musuh yg jago yg sesuai lah masa gua kalah terus pilih kasih,gak adi lalam permainan, kasi lawan yg susah di lawan, udh tau orang gak bisa masi aja di kasi musuh yg jago, udh lah pilh kasi, aku udh mau menag malah musuh yg deluan menang, terus tower di hancurin musuh mudah kenapa giliran kami serang tower susah nian, kalah terus, ujung ujung gulang lagi reng nyo, hampir idk punya temen gara2 bot main nyo, aku nanti di sekolah idk di ajak mabar lagi cuman gara2 main gem ajing 🐷",1,Negatif
Geme k**t* masa saya main 50 metc kalah semua.dan dpt nya dark sistem Mulu lagi.dan tim sama musuh nya g sepadan lagi.misal tim saya ada di rank mytik bintang 20 tapi musuh nya pada glory.itu gmn g mau kalah,1,Negatif
Keren ngalahin ff sial nya beda kalo ff jaringan sering lag+burik+tim kita bot tim musuh pro Kalo ml HD+Keren+bagus+jaringan gk pernah 999+,5,Positif
"Jujur lah saya dpt tim yang sangat amat buruk kadang dapat anggota tim feedeer kadang dapet tim suka ambil buff jungler ais apalah saya capek sekali dengan hari hari yang seperti ini,saya sudah rela menghabiskan waktu saya untuk main mobile legends dan yah itu perilaku yang saya dapat kan kecewa berat :(",1,Negatif
Untuk kedepannya mohon perbaiki masalah sinyal/jaringan soalnya sering banget merah saat war padahal sinyalnya bagus dan masalah match kasih musuh dan tim yang seimbang jadi jangan player epik tapi tim granmaster nah musuh mantan glory Jadi untuk pihak montoon mohon kerja samanya KLO itu semua diperbaiki insyaallah saya akan setia di ML,2,Negatif
Sudah sekian lama game ini masih saja ngeleg sa'at bertempur.. Jgn gituh lah nonton gw bayar maen ga gratissssss. Sinyal perbaiki. Buat kawan2 jgn donlowd lah klo bisa nanti kecewa. Mendingan game honor off king..,1,Negatif
"Developer selalu ngasih tim yang butuh/dark sistem, lalu musuhnya dikasih proplayer",1,Negatif
Game nya sudah bagus dari tampilan grafik dan hero nya pun mantap tetapi masalahnya kita selalu di kasih tim gak seimbang semisal tim kita coklat sedangkan tim musuh kuning cerah kan gak adil jadi tolong untuk pembagian tim tolong di perbaiki lagi jangan asal asal milih tim takut kitanya juga males main karena sering kalah🙏🙏,2,Negatif
"mohon perbaikan nya jika saya solo jangan di temu kan dengan tim yang duo atau trio,itu menyebabkan ketidak nyamanan para pemain",1,Negatif
"Sangat senang, karena saya menemukan banyak sekali teman² yang sangat sopan santun dalam berbicara . Terlebih saat saya solo rank . Saya selalu menemukan tim yang hebat",5,Positif
"game nya bagus, seru banget, event event nya juga menarik, makin di update makin seruu >< pokoknya mobile legend itu game moba terbaik yang pernah aku mainin, grafik nya bagus, skin Hero nya juga bagus bagus bangeett menarik semua, pokoknya game ini tuh seru bangeettt ga boseninn",5,Positif
"Game nya menyenangkan cuma yang belum kecanduan jangan deh, bisa emosi sendiri sama pihak montoon dari pusatnya banyak settingan , masa kuota masih banyak jaringan sangat bagus .. ketika bermain teman tidak ada masalah ,tapi akun saya kalo posisi lagi mau menang tiba tiba jaringan buruk lag sampai ga bisa jalan. Itulah settingan moonton yang gak adil. Kita gak bisa cepat naik bintang kalo dari moonton sendiri tak ngijinin atau bikin kita hoki.. begitulah kenyataannya",1,Negatif
Mobile legends untuk pengembang kalau nggak becus mengelola aplikasi. Mending hapus aja ni permainan dari Play games. Bikin sakit hati.. Setiap mau fight. Jaringan hilang. Setelah mati hero kita mati. Game nya kembali lancar.. Pengembang nggak becus.,1,Negatif
"ketika pick hero masih lancar, knapa tiba2 pas mau battle nglag parah padahal sinyal bagus. jadi sering kena AFK. sangat merugikan",1,Negatif
"Pada tanggal 5 Oktober sabtu kenapa gangguan menghubungkan ulang , tolong di perbaiki jangan sampe terulang terus menerus merugikan padahal sinyalnya bagus",1,Negatif
"game ML ini memang cocok nemenin waktu kesepian,lagi bosen tapi ga tahan sama lag/bug nya lagi dipertandingan juga ngeleg padahal jaringan bagus tolong perbaiki lagi kedepannya wahai papi moonton.",5,Positif
"game sampah setiap main di kasih tim drak system terus cape gua main, gk adil banget beda sama free fire mainnya bisa ngendok lah ini game moba gk ngotak, ngasih musuh yang wajar lah, kalo ngasih musuh. kalo mau winstreak mustahil ngesolo harus partiyan terus, apalagi kalo udah ngestag di renk epik bikin sakit kepala gk adil ngasih musuh,",1,Negatif
"min, makasih buat skin nya game nya juga bagus tp please adain skin gratisan lunar fest bebas pilih kmrin ada event nya gw ga sempat nukerin pdhl tinggal dikit lagi 😞 soalnya udh habis waktunya",5,Positif
"Hahahaa Game apa ini.??? Kemenangan kayak sudah di atur dan kemangan juga sudah diatur, khususnya para solo player.!! Parmainan pun jadi tak berkembang Mending main game sebelah.",1,Negatif
"masa gue donlot data ga bisa jalan jalan sih, beebrapa hari lagi udah bisa, minggu depan donlot data ulang, masalahnya apa sih?padahal gue juga mau kali dapet skin gratis jadi bosen main. Game terburuk yg pernah gue mainin",1,Negatif
"Matchmakingnya tolong diperbaiki. Perbedaan rank yang tidak seimbang. Dan masalah jaringan ngelag terus saat team fight, aneh update bukannya tambah bagus malah jelek. Gk ada perubahan, parahhhh",1,Negatif
Saran saya supaya mobile legendas tidak ada drak sistem mending sesuaikan saja sama yang dia biasa pakai misalnya di sering pake tank nanti pilihannya tank jadi ga usah milih sendiri rollnya pliss biar ga banyak drak sistem,1,Negatif
"Gamenya mantap poll,saya main rank 15x dapetnya lose streak 12 dan winstreak 3,mantap banget dah montoon saya di kasih tim yang membutuhkan kan saya,dan saya harus memainkanya,kadang kalah kadang menang",5,Positif
"Saya sebagai solo player ingin mencapai rank tertinggi di MLBB tapi selalu gagal karena reset Season, Saya mohon untuk perpanjang durasi Season nya ,(hanya saran untuk update ke depannya). Terima kasih",5,Positif
Pihak moonton yang paling paling paling terhormat mohon di PERBAIKI SERVERNYA!!!! kami sangat tersiksa sekali kalau begini terus permainan ini kayak sampah cuma buang buang kuota saja Jadi MOHON DIPERBAIKI SERVERNY!!!! kami sangat mengharapkan respon dari MOONTON!!!!!!!,5,Positif
"Aku kasih bintang satu karna suka ngeleg ngeleg,di kasih tim dark sistem mulu,di beri skin yang tidak sesuai dan selalu mendapatkan tim yang tidak bisa main",1,Negatif
Bosku koneksi bosku kenapa naik turun...ketika mau war kenapa koneksinya jadi merah bosku...padahal kalau sedah farming santuy2 aja koneksiny bosku...tolonglah capek bosku...lama lama saya unistal ni game...,5,Positif
"tolong yaa, buat moonton... tolong banget!!! ini yg main di pelosok... tolong betul saya masalah sinyal.. tingaktin aja dikit aja gausah banyk banyak.. buat stabil aja.. biar para player solo ni semangat mainny...",5,Positif
Game nya sih bagus tapi dan oke juga tapi kalo di mulai/start game katanya jaringan kurang bagus padahal lancar kok bisa yak? Moonton tolong diperbaiki ya🙏Aku kasih bintang 4 dulu nanti kalo udh bagus kukasih bintang 5,4,Positif
Bagus sih... Tapi aku kil 16 asist 5 dan teman kil 11 asist 11 mati dua tapi kok temen aku mvp.. ini system' error'? Tapi saya tatap suka sama game ini dari pada hok / honor of king,5,Positif
"Jngn download.. buat yg punya darah tinggi, daripada naik tekanan darah, keseimbangan match gk berlaku.. yg udh download,Jngn top up,percuma, sumpah habisin kuota update terus tp masalah player tak di pikirin.. rank sulit up.. dapt tim sampah terus.",1,Negatif
"Setelah update makin bnyk bug dan ngleg,tolong di perbaiki secepatnya karna itu membuat para pelayer resah Saat bermain",4,Positif
Ini bagus sekali jir permainan sekarang aku kls 6 aku main ini dari belum sekolah juga udh main banyak skin gratis lagi beuhh kasuss men buat mobile legends bang bang sumpah bikin nagihh dlu aku bisa sampe mytik ko sekarang mentog legends ya? Tapi tolong di perbaiki derk sistem nya soal nya aku cape gendong mereka,5,Positif
"Game nya bagus bgt aku suka bgt,terus semakin update semakin banyak hero baru dan skin baru, apalagi skin nya bisa di klaim secara gratis,ok segitu aja dari saya,oh iya btw aku kasih bintang 5 soalnya seru bgt,terima kasih Moonton 😊😊😊😊",5,Positif
"Game nya dah bagus, tapi kadang suka dapet tim aneh + dark system, tapi gpp walau kadang musuh ama tim suka adu bacot cmn game nya dah bagus kok, walau kadang musuh nya terlalu jago tapi tim sendiri aneh, game nya menantang, bintang juga suka naik turun, tapi gpp jadi inti nya game nya bagus, udh itu aja:)",5,Positif
tolong monton bikin ml yang kedua bair bisa main 2 aplikasi kayak yang satu server biasa yang satu advance server kalo 1 aplikasi bkl download ulang jadi habisin memori 🙏,5,Positif
"Tolong akun gw kena bug aneh, tolong secepatnya tidak bisa loginnnn, tolong secepatnya fix ini buggg",2,Negatif
Makin upedet main ml jadi ngelek kalo udah ngelek langsung mati tapi yang lain kaga ngelek pas ngelek ngegerakin karakternya susah mau kekanan eh malah jalan ke kiri udah di spam klik pas ngelek skill 1 2 atau 3 tetep ga bisa makanya gw kasih bintang 1 makin lama gw udah berhenti main ml,1,Negatif
Bagus tapi kam mobile Legends itu bisa mode offlain kan tolong saat offlain semua hero yang baru atau yang lama atau yang belum di beli di kasih di mode offlain dan tolong berawel tolong di buka dan tolong kasih tombol untuk mode offlain aga bisa masuk secepat nya tolong ya,4,Positif
bagus banget tapi coba moonton mlbb x naruto terus hayabusa jadi itachi perubahan voice animasi latarnya saat dia ada di atas tiang voice nya aku menghabisi seluruh klan ku. Pakai kostum abu bertopeng,5,Positif
Seru banget aku gak bisa sehari tanpa ini.Game nya seru banget banyak lagi hero skin dan event nya banyak banget terus di event ada tantabgan nya pokok nya its the best!!!!,5,Positif
"keren game nya , grafik semakin bagus dan event semakin keren , semoga kedepannya bisa semakin bagus",5,Positif
"bagus aja tapi pengen lobby nya kaya dulu pulau terapung/terbang, ya kali ini update nya seru cuman HP jadi agak panas + baterai 67℅ cepet ngurang tapi gpp lah bisa ngilangin stress 😖",5,Positif
"Yessssss akhirnya game terburuk ku mencetak rekor lagi. Losetreak 8 kali rank hahahahahahaha, karena timnya beban semua. Kadang jago tapi musuhnya malah jago. Dah gila lama lama main game ini.",1,Negatif
Dear moonton kenapa sih setiap match pasting ngeleg di menit 1.50/turtle pertama mau keluar ping nya pasti 200+ dan ga turun semasekali dan itu bukan 1-2 game tapi setiap bermain rank dan baru turun ping nya di menit 3an dan tidak sampai disitu masih berlanjut ping nya naik turun dari 30-120. Jujur sangat kecawa di mana saya yang menggunakan letri/jungle. Karna di erly game sangat penting peran saya sebagai jungle untuk amanin turtle dan mau ngamanin gmn klo ping 200 tolong di fiks jgn skin mulu,1,Negatif
Game nya bagus tapi kalo aku main kasih lah tim yang bener main nya udah tim nya gak bisa main musuh nya jago jago makan nya ku kasi bintang satu aja klo aku di kasih menang 999999999 aku kasih bintang lima mau gak lu montoon Udah min gw cpk kalah aja lama lama klo kalah aja gw hapus yh klo ini gw klo 10 kali lagi gw hapus........gak ada alasan....,1,Negatif
Dear moonton kenapa sering kali saya di tabrakan dengan musuh imo100+ star sementara tim saya tidak ad yang lebih banyak star ny daripada saya klo tetap seperti ini semoga moonton bangkrut,1,Negatif
saran untuk mlbb kalau bisa di buatkan yg versi lite.. di peruntukan untuk hp ram 2gb an.. kalau mau sih.. untuk nambah player yg pingin main tapi hp kentang. tapi tetep stabil. untuk main,5,Positif
"Apala setiap update kok ada aja yg bikin males main, ini jaringan gaje banget jir? Wifi gw lancar lancar aja loh? Mau masuk pertandingan kok susah banget",1,Negatif
"Harmfull game !! Becareful , this game is Very dangerous !!!! Terlalu banyak kecurangan di game ini ,akhirnya aku sudah uninstall game yang bobrok ini di tambah kendala nge-lag di tengah pertandingan . Kemungkinan kalian beli server murahan . Game lain gak ada kendala jaringan seperti game anda. So cheap your server !!! Shame on you. HARMFULL GAME !!!!",1,Negatif
"bagus banget gamenya, banyak hero, permainannya seru, pokoknya bagus tapi bikin memori HP penuh hampir bisa sampai 2 GB",4,Positif
bagus si hd tapi jaringan 🗿 masa yang paling aneh itu abis pick Hero trus log-in ulang itu maksudnya apa jaringan full masa si ke gitu🗿 tolong lah moonton jangan kasi gua drak sistem mulu apalagi gua kadang disangka trol padahl jaringan bagus🗿,2,Negatif
"Habis pembaharuan, ini kok makin parah . D loby signal ijo, sekalinya pas d dalam rank udah merah. Makin gak jelas ini moonton. Mana skin mahal kyk skin legend gak ad efek efek ny juga yg bagus.",1,Negatif
Setelah update terbaru joystick/analog menjadi tidak responsif dan kadang tidak bisa digerakan sama sekali. Kadang juga tidak dapat melakukan basic attack sambil berjalan,5,Positif
"Saya gak tau mau bagaimana lagi,tapi saya akan menghapus game ini,karena semakin lama mobile legend itu makin aneh,jadi buat moonton tolong perbaiki match-nya,kalau tidak semua player bakalan pindah kegame sebelah yaitu honor of king,jadi aku dan para player mobile legend gimana ya,capek loh moonton,jadi saya minta tolong perbaiki sistem draf picknya,dan saya akan menghapus game ini karena membuat kepala saya hampir pecah. TERIMA KASIH KARENA TELAH MENGHIBUR AKU,(TERIMA KASIH).",1,Negatif
masalah paling besar yang saya yakin banyak yang pensiun atau pindah game adalah... Sistem matchmaking yang amat sangat buruk.. Yang kedua masalah jaringan dan selanjut2nya,2,Negatif
banyak dark sistem ls 10X Percuma give away tapi sistem nya rusakkk sistem nya sekarang masi rusak masa gw push dari epic dua bintang 2 Pas di epic empat kalah turun ke epic 2 lagi Percuma lu main 7 jam kalo sama aja,1,Negatif
"Min tolong luncurkan aplikasi game mobile legend di India juga dong🥰, aku dan teman teman India ku juga ingin bermain bersama namun aplikasi ini tidak tersedia di negara mereka",5,Positif
"Game aneh, kda gw 10 8 6 gak buruk buruk amat, data game gw juga lumayan, masa di kasi coklat gak logis. Minimal silver kek. Perbaiki lagi deh moonton tolol",1,Negatif
"Dark sistem asu, tinggal 1 bintang lgi malah kalah, udah 1 tahun lebih moonton Masih aja ga peduli sama sistem matchmakingnya anjjjjjjj malah nambah fitur ga guna blok tol**, hari ke 3 moonton ngasih dark sistem terus petooottt bisa gasi kasih musuh yang sepadan?",1,Negatif
"Tolong lah ya, saya main dikasih tim yang gabisa main terus, saya lelah push rank dari awal season sampai sekarang, bukan nya naik malahan turun",1,Negatif
Game ini sangat menarik dan terhibur cuman kalau saat rilotd bermain dan login ulang loadingnya lama tolong di perbaiki lagi untuk itu terimakasih 😅,5,Positif
"Mhon maaf atas kata""saya.pi ini benar sekali.. Game nya mmbuat jengkel klo menurut saya kurang seru. Kadang kita bermain di kena kan dreaksistem. Di lihat dari lawan gk ada apa""nya.ko mlah yg sekor tertinggi d klah kan. Gk msuk akal. Sory tlong d perbaiki lgi game nya. Trimakasi",1,Negatif
"Dari season ke season gameplay nya semakin mantap, lanjutkan berikan yang terbaik untuk para player, jaya terus mantappp",5,Positif
"Match making yang belum sangat adil. Saat bermain solo masih banyak player yang membebani rekan tim, membuat merasa lelah memainkan nya. Terkadang mendapatkan tim yang paham dan mengerti bermain 2P berbanding 4P, 3P berbanding 5P ""Tolong di perbaiki""",1,Negatif
mending pindah honor of king.game jelek game banyak drak seytem apa lagi di kasih lose trike di kasih event skin gratisan biar gak pada pindah game apa gwe kesel MONTOON capek tau ☹️☹️☹️😡dan banyak chat global katanya auto win ternyata dia pake vpn dan menimbulkan sinyal lag akhirnya lose .indonesia drak sistem,1,Negatif
"Game aneh sinyal bagus tapi ping di dalam game merah,abis itu tim nya kagak jelas semua,game jelek jangan di mainin, mending HOK😡🤬👎🏻",1,Negatif
Game ini yg di sebut Mobile legends sangat seru dan banyak sekali hal menariknya seperti eventnya dan hero² yg lain sungguh menakjubkan💕😍,5,Positif
Jaringan bagus lancar tapi kok tiba2 gamenya berhenti jadi pingin marah baru lama banget lagi pas ku ulang kuliat udah hitam semua layarku sampe ku tinggal karna capek nunggu tiba tiba aku liat pas udah bisa gamenya aku AFK kalo gini unistal aja lah akun gak guna skinnya yang gratisan itu itu aja di ulang,1,Negatif
Game nya sudah bagus tapi cuma tentang lawan nya kadang main kalah musuh nya pro dan terutama team kadang dark sistem kadang enggak kaya tim lawan,4,Positif
"Kenapa habis di update malah crash apk nya moonton. Ini saya terpaksa download ulang lagi, mana di dlam game msih bnyak data yg harus di download. Tolong tingkatkan perbaikannya.. Jgn buat para player ML lain kecewa",5,Positif
"Saya adalah player lama saya sudah bermain dari anak saya umur 3 tahun anak saya sekarang berumur 11 tahun tetapi saya Mlah baru ngasik rating sekarang , gamanya seru banget banyak dark sistem atau disebut bot tolong perdikit bot agar saya bisa menuju glory . Saya ada sedikit pantun hidup terasa sepi tanpa kekasih sekian terima kasih🙏",5,Positif
"GAME BURUK, nyesel nya klo udh download, awal² aman, dpt 1 bulan BURUK nya terlihat, contoh² : lose track/ kalah terus, tiba² jaringan error, dpt team lemah, lawan gak imbang, masih byk lg, game menguras kuota, bahaya buat psikis, langsung uninstall, liat aja rating nya. MONTOON LOL!!!",1,Negatif
"Game b*b* masa udah top up banyak malah di kasi kalah terus gak pernah change buat menang , gw ls treak 5 kalau plis yang mau downlod jangan nanti top up banyak di kasi kalah",1,Negatif
"Gamenya bagus parah ada minigamenya,event gacha,danlain ², tapi kasih dulu phoveus skin kasihan user phoveus. Yang sabar ya tapi karena ada game HOK babi iti",5,Positif
"Oii yg selalu dikasi tim aneh/ga bisa main.mending pindah aja kesebelah mactmaking nya ada ga kaya disini mactmaking aneh,tim dikasi orang² ampas/epic abadi sedangkan musuh dikasinya pemain tier² tinggi,bisa mikir kali moonton lu mau kasi skin gimana juga kalau matcmaking lu masih kaya gitu terus lama kelamaan bikin mental orang hancur paling pindah game,makasi",5,Positif
"Bug sinyal gajelas,setiap main rank tiba""lag bikin males main,sinyal 4g+ full,masih aja tiba""lag terus kalo ketemu musuh,sering kena comeback gara"" bug lag gajelas",5,Positif
"Gamenya bagus tapi banyak banget dark sistemnya,tolong lah kalo ada player yang wrnya di bawah 50 atau 60 di suruh kasih tutorial lagi cape lose streak mulu",4,Positif
"Gw user Jungle, tapi setiap mau ngebuff di map ada buff nya tapi pas disamperin buff ny hilang seketika!! Bikin gw ngerasa kaya kena prank!!",2,Negatif
saya suka gamenya buat hiburan pas rebahan tapi saya tidak kalau ada season bikin turun Reng yang selama ini saya mainkan,5,Positif
"ML adalah game terburuk bagi gua dan muntun merancang rencana yang sangat matang buat nurunin gua doang dan mengunggulkan teman gua,gua merasa seperti proyek uji coba monton si game psikopat kenapa setiap season ga dapet tim bagus malah musuhnya doang yang bagus, musuh mcl, global,dan lainnya dan gua merasa gua diberi tim kayak warior, cewek,dan ngetroll. daripada gua di siksa monton lebih baik main honor. ML adalah game lumpur nyesel gua download ML",1,Negatif
"Sumpah ni game nambah aneh, karena tadi ulang tahun ke 10, trus ini yg ke 8. Emang agak Laen y, dan gue sering ngalamin ""DRAK SYSTEM"" napasih Moonton di Lobby baik baik aja, kalo mulai pertandingan Itu sinyal gak bagus, dan Kalo VS A.L. itu Computer pada PRO BANGET ini aneh si. Plissss 🙏😞 kali ini jangan. Gue saranin buat game jangan di kasih DRAK SYSTEM karena para pemula kasian yg baru main di kasih gituan, dan kalo di Instalasi jangan di hapus konten nya, karena itu buang buang Kouta/Wifi",2,Negatif
"Game bgsat, banyak bugnya membosankan map-nya itu itu aja, mana jelek lagi map-nya sinyal ngelek, keseimbangan game ini kotor, peserta akan menemukan rank dengan pangkat tidak normal, MOBA terasi",1,Negatif
"Game yang sangat buruk tidak dapat membagi team dengan benar selama saya bermain mobile legend saya selalu saja mendapatkan team yang tidak bisa bermain itu sangat merugikan saya, saya harap game ini sepi saja kalaw pembagian team yang sangat tidak seimbang ini sangat mengecewakan",1,Negatif
"Game gajelas main solo rank di kasih tim feeder, buta map, ngetroll giliran tim musuh jago. Maksudnya gimana ini muntun, tolonglah perbaiki sistem matchnya ga kasihan apa sama saya yg ngepush rank solo. Ayolah muntun, gimana ga di tinggalin orang sistem match solonya aja kek gitu.",1,Negatif
"Pembentukan tim semakin buruk , tidak seimbang , banyak yang feed , jujur gw kecewa sama ini game Cuma skin aja yg di updete bukan kinerja pemilihan timnya",2,Negatif
"Hari gini masih mentingin skin, jangan ya moonton ya. Alangkah baiknya fokus ke performa permainan player saja. seperti memberi hukuman kepada player yang curang, troll, pakai script, dll. Apalagi yang sering afk, tolong diperhatikan player yang sering afk ini. Apakah player tersebut benar benar mengalami jaringan yang buruk, atau karena sengaja keluar dari permainan. Segi pandangan orang berbeda-beda, menurut dari segi pandangan saya, skin Hero itu tidak membuat kita terlihat keren. #PAHAM 🖐️",1,Negatif
"kecewa semakin jelek,padahal dulu ini game benar"" seru untuk di mainkan kenapa sekarang setelah update terbaru semakin tidak masuk akal gameplay nya",1,Negatif
"tolong moontonn kaloo soloo ketemu solo lagi,jangan duo apalagi trio,gimana mau setara kalo seperti itu,setiap main ketemu duo trio,kalo begini terus susah menang buat player solo.",1,Negatif
"Game ini numayan bagus tetapi setiap main Renk atau ketika ingin naik Renk saya selalu di pertemukan dengan tim yang tidak sepadan dan lawan yang hebat dalam pertandingan, dan saya suka bertemu Renk yang di bawah saya di Renk jadinya saya sangat sulit memenangkan game ini",1,Negatif
GK ada perubahan ini game. Lag dan lag padahal jaringan lancar. Main HOK mendingan.,1,Negatif
