bacaan,artinya
"14. idz arsalnaa ilayhimu itsnayni fakadzdzabuuhumaa fa'azzaznaa bitsaalitsin faqaaluu innaa ilaykum mursaluun artinya. (yaitu) ketika Kami mengutus kepada mereka dua orang utusan, lalu mereka mendustakan keduanya; kemudian Kami kuatkan dengan (utusan) yang ketiga, maka ketiga utusan itu berkata: ""Sesungguhnya kami adalah orang-orang yang diutus kepadamu"".
","(yaitu) ketika Kami mengutus kepada mereka dua orang utusan, lalu mereka mendustakan keduanya; kemudian Kami kuatkan dengan (utusan) yang ketiga, maka ketiga utusan itu berkata: ""Sesungguhnya kami adalah orang-orang yang diutus kepadamu""."
"15. Qaaluu maa antum illaa basyarun mitslunaa wamaa anzala rrahmaanu min syayin in antum illaa takdzibuun artinya. Mereka menjawab: ""Kamu tidak lain hanyalah manusia seperti kami dan Allah Yang Maha Pemurah tidak menurunkan sesuatupun, kamu tidak lain hanyalah pendusta belaka"".
","Mereka menjawab: ""Kamu tidak lain hanyalah manusia seperti kami dan Allah Yang Maha Pemurah tidak menurunkan sesuatupun, kamu tidak lain hanyalah pendusta belaka""."
"16. Qaaluu rabbunaa ya'lamu innaa ilaykum lamursaluun artinya. Mereka berkata: ""Tuhan kami mengetahui bahwa sesungguhnya kami adalah orang yang diutus kepada kamu.
","Mereka berkata: ""Tuhan kami mengetahui bahwa sesungguhnya kami adalah orang yang diutus kepada kamu."
"17. Wamaa 'alaynaa illaa lbalaaghu lmubiin artinya. Dan kewajiban kami tidak lain hanyalah menyampaikan (perintah Allah) dengan jelas"".
","Dan kewajiban kami tidak lain hanyalah menyampaikan (perintah Allah) dengan jelas""."
"18. Qaaluu innaa tathayyarnaa bikum lain lam tantahuu lanarjumannakum walayamassannakum minnaa 'adzaabun liim artinya. Mereka menjawab: ""Sesungguhnya kami bernasib malang karena kamu, sesungguhnya jika kamu tidak berhenti (menyeru kami), niscaya kami akan merajam kamu dan kamu pasti akan mendapat siksa yang pedih dari kami"".
","Mereka menjawab: ""Sesungguhnya kami bernasib malang karena kamu, sesungguhnya jika kamu tidak berhenti (menyeru kami), niscaya kami akan merajam kamu dan kamu pasti akan mendapat siksa yang pedih dari kami""."
"19. Qaaluu thaairukum ma'akum ain dzukkirtum bal antum qawmun musrifuun artinya. Utusan-utusan itu berkata: ""Kemalangan kamu itu adalah karena kamu sendiri. Apakah jika kamu diberi peringatan (kamu mengancam kami)? Sebenarnya kamu adalah kaum yang melampaui batas"".
","Utusan-utusan itu berkata: ""Kemalangan kamu itu adalah karena kamu sendiri. Apakah jika kamu diberi peringatan (kamu mengancam kami)? Sebenarnya kamu adalah kaum yang melampaui batas""."
"20. Wajaaa min aqshaa lmadiinati rajulun yas'aa qaala yaa qawmi ittabi'uul mursaliin artinya. Dan datanglah dari ujung kota, seorang laki-laki (Habib An Najjar) dengan bergegas-gegas ia berkata: ""Hai kaumku, ikutilah utusan-utusan itu,
","Dan datanglah dari ujung kota, seorang laki-laki (Habib An Najjar) dengan bergegas-gegas ia berkata: ""Hai kaumku, ikutilah utusan-utusan itu,"
"21. Ittabi'uu man laa yasalukum ajran wahum muhtaduun artinya. ikutilah orang yang tiada minta balasan kepadamu; dan mereka adalah orang-orang yang mendapat petunjuk.
",ikutilah orang yang tiada minta balasan kepadamu; dan mereka adalah orang-orang yang mendapat petunjuk.
"22. Wamaa liya laa a'budulladzii fatharanii wailayhi turja'uun artinya. Mengapa aku tidak menyembah (Tuhan) yang telah menciptakanku dan yang hanya kepada-Nya-lah kamu (semua) akan dikembalikan?
",Mengapa aku tidak menyembah (Tuhan) yang telah menciptakanku dan yang hanya kepada-Nya-lah kamu (semua) akan dikembalikan?
"23. A-attakhidzu min duunihi aalihatan in yuridni rrahmaanu bidhurrin laa tughni 'annii syafaa'atuhum syay-an walaa yunqidzuun artinya. Mengapa aku akan menyembah tuhan-tuhan selain-Nya, jika (Allah) Yang Maha Pemurah menghendaki kemudharatan terhadapku, niscaya syafa'at mereka tidak memberi manfa'at sedikitpun bagi diriku dan mereka tidak (pula) dapat menyelamatkanku?
","Mengapa aku akan menyembah tuhan-tuhan selain-Nya, jika (Allah) Yang Maha Pemurah menghendaki kemudharatan terhadapku, niscaya syafa'at mereka tidak memberi manfa'at sedikitpun bagi diriku dan mereka tidak (pula) dapat menyelamatkanku?"
"24. Innii idzan lafii dhalaalin mubiin artinya. Sesungguhnya aku kalau begitu pasti berada dalam kesesatan yang nyata.
",Sesungguhnya aku kalau begitu pasti berada dalam kesesatan yang nyata.
"25. Innii aamantu birabbikum fasma'uun artinya. Sesungguhnya aku telah beriman kepada Tuhanmu; maka dengarkanlah (pengakuan keimanan) ku.
",Sesungguhnya aku telah beriman kepada Tuhanmu; maka dengarkanlah (pengakuan keimanan) ku.
"26. Qiila udkhulil jannata qaala yaa layta qawmii ya'lamuun artinya. Dikatakan (kepadanya): ""Masuklah ke surga"". Ia berkata: ""Alangkah baiknya sekiranya kaumku mengetahui,
","Dikatakan (kepadanya): ""Masuklah ke surga"". Ia berkata: ""Alangkah baiknya sekiranya kaumku mengetahui,"
"27. bimaa ghafara lii rabbii waja'alanii mina lmukramiin artinya. apa yang menyebabkan Tuhanku memberi ampun kepadaku dan menjadikan aku termasuk orang-orang yang dimuliakan"".
","apa yang menyebabkan Tuhanku memberi ampun kepadaku dan menjadikan aku termasuk orang-orang yang dimuliakan""."
"28. wamaa anzalnaa 'alaa qawmihi min ba'dihi min jundin mina ssamaai wamaa kunnaa munziliin artinya. Dan kami tidak menurunkan kepada kaumnya sesudah dia (meninggal) suatu pasukanpun dari langit dan tidak layak Kami menurunkannya.
",Dan kami tidak menurunkan kepada kaumnya sesudah dia (meninggal) suatu pasukanpun dari langit dan tidak layak Kami menurunkannya.
"29. in kaanat illaa shayhatan waahidatan faidzaa hum khaamiduun artinya. Tidak ada siksaan atas mereka melainkan satu teriakan suara saja; maka tiba-tiba mereka semuanya mati.
",Tidak ada siksaan atas mereka melainkan satu teriakan suara saja; maka tiba-tiba mereka semuanya mati.
"30. yaa hasratan 'alaa l'ibaadi maa ya'tiihim min rasuulin illaa kaanuu bihi yastahziuun artinya. Alangkah besarnya penyesalan terhadap hamba-hamba itu, tiada datang seorang rasulpun kepada mereka melainkan mereka selalu memperolok-olokkannya.
","Alangkah besarnya penyesalan terhadap hamba-hamba itu, tiada datang seorang rasulpun kepada mereka melainkan mereka selalu memperolok-olokkannya."
"31. Alam yaraw kam ahlaknaa qablahum mina lquruuni annahum ilayhim laa yarji'uun artinya. Tidakkah mereka mengetahui berapa banyaknya umat-umat sebelum mereka yang telah Kami binasakan, bahwasanya orang-orang (yang telah Kami binasakan) itu tiada kembali kepada mereka .
","Tidakkah mereka mengetahui berapa banyaknya umat-umat sebelum mereka yang telah Kami binasakan, bahwasanya orang-orang (yang telah Kami binasakan) itu tiada kembali kepada mereka ."
"32. Wain kullun lammaa jamii'un ladaynaa muhdaruun artinya. Dan setiap mereka semuanya akan dikumpulkan lagi kepada Kami.
",Dan setiap mereka semuanya akan dikumpulkan lagi kepada Kami.
"33. Waaayatun lahumul ardhul maytatu ahyaynaahaa waakhrajnaa minhaa habban faminhu ya'kuluun artinya. Dan suatu tanda (kekuasaan Allah yang besar) bagi mereka adalah bumi yang mati. Kami hidupkan bumi itu dan Kami keluarkan daripadanya biji-bijian, maka daripadanya mereka makan.
","Dan suatu tanda (kekuasaan Allah yang besar) bagi mereka adalah bumi yang mati. Kami hidupkan bumi itu dan Kami keluarkan daripadanya biji-bijian, maka daripadanya mereka makan."
"34. Waja'alnaa fiihaa jannaatin min nakhiilin wa-a'naabin wafajjarnaa fiihaa minal'uyuun artinya. Dan Kami jadikan padanya kebun-kebun kurma dan anggur dan Kami pancarkan padanya beberapa mata air,
","Dan Kami jadikan padanya kebun-kebun kurma dan anggur dan Kami pancarkan padanya beberapa mata air,"
"35. liya/kuluu min tsamarihi wamaa 'amilathu aydiihim afalaa yasykuruun artinya. supaya mereka dapat makan dari buahnya, dan dari apa yang diusahakan oleh tangan mereka. Maka mengapakah mereka tidak bersyukur?
","supaya mereka dapat makan dari buahnya, dan dari apa yang diusahakan oleh tangan mereka. Maka mengapakah mereka tidak bersyukur?"
"36. Subhaanalladzii khalaqa lazwaaja kullahaa mimmaa tunbitul ardhu wamin anfusihim wamimmaa laa ya'lamuun artinya. Maha Suci Tuhan yang telah menciptakan pasangan-pasangan semuanya, baik dari apa yang ditumbuhkan oleh bumi dan dari diri mereka maupun dari apa yang tidak mereka ketahui.
","Maha Suci Tuhan yang telah menciptakan pasangan-pasangan semuanya, baik dari apa yang ditumbuhkan oleh bumi dan dari diri mereka maupun dari apa yang tidak mereka ketahui."
"37. Waaayatun lahumullaylu naslakhu minhu nnahaara fa-idzaa hum muzhlimuun artinya. Dan suatu tanda (kekuasaan Allah yang besar) bagi mereka adalah malam; Kami tanggalkan siang dari malam itu, maka dengan serta merta mereka berada dalam kegelapan,
","Dan suatu tanda (kekuasaan Allah yang besar) bagi mereka adalah malam; Kami tanggalkan siang dari malam itu, maka dengan serta merta mereka berada dalam kegelapan,"
"38. wasysyamsu tajrii limustaqarrin lahaa dzaalika taqdiiru l'aziizi l'aliim artinya. dan matahari berjalan di tempat peredarannya. Demikianlah ketetapan Yang Maha Perkasa lagi Maha Mengetahui.
",dan matahari berjalan di tempat peredarannya. Demikianlah ketetapan Yang Maha Perkasa lagi Maha Mengetahui.
"39. Walqamara qaddarnaahu manaazila hattaa 'aada kal'urjuuni lqadiim artinya. Dan telah Kami tetapkan bagi bulan manzilah-manzilah, sehingga (setelah dia sampai ke manzilah yang terakhir) kembalilah dia sebagai bentuk tandan yang tua .
","Dan telah Kami tetapkan bagi bulan manzilah-manzilah, sehingga (setelah dia sampai ke manzilah yang terakhir) kembalilah dia sebagai bentuk tandan yang tua ."
"40. Laa sysyamsu yanbaghii lahaa an tudrikal qamara walaallaylu saabiqu nnahaari wakullun fii falakin yasbahuun artinya. Tidaklah mungkin bagi matahari mendapatkan bulan dan malampun tidak dapat mendahului siang. Dan masing-masing beredar pada garis edarnya.
",Tidaklah mungkin bagi matahari mendapatkan bulan dan malampun tidak dapat mendahului siang. Dan masing-masing beredar pada garis edarnya.
"41. Waaayatun lahum annaa hamalnaa dzurriyyatahum fii alfulki almasyhuun artinya. Dan suatu tanda (kebesaran Allah yang besar) bagi mereka adalah bahwa Kami angkut keturunan mereka dalam bahtera yang penuh muatan,
","Dan suatu tanda (kebesaran Allah yang besar) bagi mereka adalah bahwa Kami angkut keturunan mereka dalam bahtera yang penuh muatan,"
"42. wakhalaqnaa lahum min mitslihi maa yarkabuun artinya. dan Kami ciptakan untuk mereka yang akan mereka kendarai seperti bahtera itu .
",dan Kami ciptakan untuk mereka yang akan mereka kendarai seperti bahtera itu .
"43. Wa-in nasya'nughriqhum falaa shariikha lahum walaa hum yunqadzuun artinya. Dan jika Kami menghendaki niscaya Kami tenggelamkan mereka, maka tiadalah bagi mereka penolong dan tidak pula mereka diselamatkan.
","Dan jika Kami menghendaki niscaya Kami tenggelamkan mereka, maka tiadalah bagi mereka penolong dan tidak pula mereka diselamatkan."
"44. illaa rahmatan minnaa wamataa'an ilaa hiin artinya. Tetapi (Kami selamatkan mereka) karena rahmat yang besar dari Kami dan untuk memberikan kesenangan hidup sampai kepada suatu ketika.
",Tetapi (Kami selamatkan mereka) karena rahmat yang besar dari Kami dan untuk memberikan kesenangan hidup sampai kepada suatu ketika.
"45. Wa-idzaa qiila lahumu ittaquu maa bayna aydiikum wamaa khalfakum la'allakum turhamuun artinya. Dan apabila dikatakan kepada mereka: ""Takutlah kamu akan siksa yang di hadapanmu dan siksa yang akan datang supaya kamu mendapat rahmat"", (niscaya mereka berpaling).
","Dan apabila dikatakan kepada mereka: ""Takutlah kamu akan siksa yang di hadapanmu dan siksa yang akan datang supaya kamu mendapat rahmat"", (niscaya mereka berpaling)."
"46. Wamaa ta'tiihim min aayatin min aayaati rabbihim illaa kaanuu 'anhaa mu'ridhiin artinya. Dan sekali-kali tiada datang kepada mereka suatu tanda dari tanda-tanda kekuasaan Tuhan mereka, melainkan mereka selalu berpaling daripadanya.
","Dan sekali-kali tiada datang kepada mereka suatu tanda dari tanda-tanda kekuasaan Tuhan mereka, melainkan mereka selalu berpaling daripadanya."
"47. Wa-idzaa qiila lahum anfiquu mimmaa razaqakumullaahu qaalalladziina kafaruu lilladziina aamanuu anuth'imu man law yasyaaullaahu ath'amahu in antum illaa fii dhalaalin mubiin artinya. Dan apabila dikatakan kepada mereka: ""Nafkahkanlah sebahagian dari rezki yang diberikan Allah kepadamu"", maka orang-orang yang kafir itu berkata kepada orang-orang yang beriman: ""Apakah kami akan memberi makan kepada orang-orang yang jika Allah menghendaki tentulah Dia akan memberinya makan, tiadalah kamu melainkan dalam kesesatan yang nyata"".
","Dan apabila dikatakan kepada mereka: ""Nafkahkanlah sebahagian dari rezki yang diberikan Allah kepadamu"", maka orang-orang yang kafir itu berkata kepada orang-orang yang beriman: ""Apakah kami akan memberi makan kepada orang-orang yang jika Allah menghendaki tentulah Dia akan memberinya makan, tiadalah kamu melainkan dalam kesesatan yang nyata""."
"48. Wayaquuluuna mataa haadzaa lwa'du in kuntum shaadiqiin artinya. Dan mereka berkata: ""Bilakah (terjadinya) janji ini ( hari berbangkit) jika kamu adalah orang-orang yang benar?""
","Dan mereka berkata: ""Bilakah (terjadinya) janji ini ( hari berbangkit) jika kamu adalah orang-orang yang benar?"""
"49. Maa yanzhuruuna illaa shayhatan waahidatan ta'khudzuhum wahum yakhishshimuun artinya. Mereka tidak menunggu melainkan satu teriakan saja yang akan membinasakan mereka ketika mereka sedang bertengkar.
",Mereka tidak menunggu melainkan satu teriakan saja yang akan membinasakan mereka ketika mereka sedang bertengkar.
"50. Falaa yastathii'uuna tawshiyatan walaa ilaa ahlihim yarji'uun artinya. Lalu mereka tidak kuasa membuat suatu wasiatpun dan tidak (pula) dapat kembali kepada keluarganya.
",Lalu mereka tidak kuasa membuat suatu wasiatpun dan tidak (pula) dapat kembali kepada keluarganya.
"51. Wanufikha fii shshuuri faidzaa hum minal ajdaatsi ilaa rabbihim yansiluun artinya. Dan ditiuplah sangkakala , maka tiba-tiba mereka keluar dengan segera dari kuburnya (menuju) kepada Tuhan mereka.
","Dan ditiuplah sangkakala , maka tiba-tiba mereka keluar dengan segera dari kuburnya (menuju) kepada Tuhan mereka."
"52. Qaaluu yaa waylanaa man ba'atsanaa min marqadinaa haadzaa maa wa'ada rrahmaanu washadaqal mursaluun artinya. Mereka berkata: ""Aduh celakalah kami! Siapakah yang membangkitkan kami dari tempat tidur kami (kubur)?"" Inilah yang dijanjikan (Tuhan) Yang Maha Pemurah dan benarlah Rasul-rasul (Nya).
","Mereka berkata: ""Aduh celakalah kami! Siapakah yang membangkitkan kami dari tempat tidur kami (kubur)?"" Inilah yang dijanjikan (Tuhan) Yang Maha Pemurah dan benarlah Rasul-rasul (Nya)."
"53. In kaanat illaa shayhatan waahidatan fa-idzaa hum jamii'un ladaynaa muhdaruun artinya. Tidak adalah teriakan itu selain sekali teriakan saja, maka tiba-tiba mereka semua dikumpulkan kepada Kami.
","Tidak adalah teriakan itu selain sekali teriakan saja, maka tiba-tiba mereka semua dikumpulkan kepada Kami."
"54. Falyawma laa tuzhlamu nafsun syayan walaa tujzawna illaa maa kuntum ta'maluun artinya. Maka pada hari itu seseorang tidak akan dirugikan sedikitpun dan kamu tidak dibalasi, kecuali dengan apa yang telah kamu kerjakan.
","Maka pada hari itu seseorang tidak akan dirugikan sedikitpun dan kamu tidak dibalasi, kecuali dengan apa yang telah kamu kerjakan."
"55. Inna ashhaaba ljannati lyawma fii syughulin faakihuun artinya. Sesungguhnya penghuni surga pada hari itu bersenang-senang dalam kesibukan (mereka).
",Sesungguhnya penghuni surga pada hari itu bersenang-senang dalam kesibukan (mereka).
"56. Hum waazwaajuhum fii zhilaalin 'alaal araaiki muttakiuun artinya. Mereka dan isteri-isteri mereka berada dalam tempat yang teduh, bertelekan di atas dipan-dipan.
","Mereka dan isteri-isteri mereka berada dalam tempat yang teduh, bertelekan di atas dipan-dipan."
"57. Lahum fiihaa faakihatun walahum maa yadda'uun artinya. Di surga itu mereka memperoleh buah-buahan dan memperoleh apa yang mereka minta.
",Di surga itu mereka memperoleh buah-buahan dan memperoleh apa yang mereka minta.
"58. salaamun qawlan min rabbin rahiim artinya. (Kepada mereka dikatakan): ""Salam"", sebagai ucapan selamat dari Tuhan Yang Maha Penyayang.
","(Kepada mereka dikatakan): ""Salam"", sebagai ucapan selamat dari Tuhan Yang Maha Penyayang."
"59. wamtaazuu lyawma ayyuhaa lmujrimuun artinya. Dan (dikatakan kepada orang-orang kafir): ""Berpisahlah kamu (dari orang-orang mu'min) pada hari ini, hai orang-orang yang berbuat jahat.
","Dan (dikatakan kepada orang-orang kafir): ""Berpisahlah kamu (dari orang-orang mu'min) pada hari ini, hai orang-orang yang berbuat jahat."
"60. Alam a'had ilaykum yaa banii aadama an laa ta'buduu sysyaythaana innahu lakum 'aduwwun mubiin artinya. Bukankah Aku telah memerintahkan kepadamu hai Bani Adam supaya kamu tidak menyembah syaitan? Sesungguhnya syaitan itu adalah musuh yang nyata bagi kamu"",
","Bukankah Aku telah memerintahkan kepadamu hai Bani Adam supaya kamu tidak menyembah syaitan? Sesungguhnya syaitan itu adalah musuh yang nyata bagi kamu"","
"61. waani u'buduunii haadzaa shiraathun mustaqiim artinya. dan hendaklah kamu menyembah-Ku. Inilah jalan yang lurus.
",dan hendaklah kamu menyembah-Ku. Inilah jalan yang lurus.
"62. Walaqad adhalla minkum jibillan katsiiran afalam takuunuu ta'qiluun artinya. Sesungguhnya syaitan itu telah menyesatkan sebahagian besar di antaramu. Maka apakah kamu tidak memikirkan?
",Sesungguhnya syaitan itu telah menyesatkan sebahagian besar di antaramu. Maka apakah kamu tidak memikirkan?
"63. Haadzihi jahannamullatii kuntum tuu'aduun artinya. Inilah Jahannam yang dahulu kamu diancam (dengannya).
",Inilah Jahannam yang dahulu kamu diancam (dengannya).
"64. Ishlawhaa lyawma bimaa kuntum takfuruun artinya. Masuklah ke dalamnya pada hari ini disebabkan kamu dahulu mengingkarinya.
",Masuklah ke dalamnya pada hari ini disebabkan kamu dahulu mengingkarinya.
"65. Alyawma nakhtimu 'alaa afwaahihim watukallimunaa aydiihim watasyhadu arjuluhum bimaa kaanuu yaksibuun artinya. Pada hari ini Kami tutup mulut mereka; dan berkatalah kepada Kami tangan mereka dan memberi kesaksianlah kaki mereka terhadap apa yang dahulu mereka usahakan.
",Pada hari ini Kami tutup mulut mereka; dan berkatalah kepada Kami tangan mereka dan memberi kesaksianlah kaki mereka terhadap apa yang dahulu mereka usahakan.
"66. Walaw nasyaau lathamasnaa 'alaa a'yunihim fastabaquu shshiraatha fa-annaa yubshiruun artinya. Dan jika Kami menghendaki pastilah Kami hapuskan penglihatan mata mereka; lalu mereka berlomba-lomba (mencari) jalan. Maka betapakah mereka dapat melihat (nya).
",Dan jika Kami menghendaki pastilah Kami hapuskan penglihatan mata mereka; lalu mereka berlomba-lomba (mencari) jalan. Maka betapakah mereka dapat melihat (nya).
"67. Walaw nasyaau lamasakhnaahum 'alaa makaanatihim famaa istathaa'uu mudhiyyan walaa yarji'uun artinya. Dan jika Kami menghendaki pastilah Kami rubah mereka di tempat mereka berada; maka mereka tidak sanggup berjalan lagi dan tidak (pula) sanggup kembali.
",Dan jika Kami menghendaki pastilah Kami rubah mereka di tempat mereka berada; maka mereka tidak sanggup berjalan lagi dan tidak (pula) sanggup kembali.
"68. Waman nu'ammirhu nunakkis-hu fii lkhalqi afalaa ya'qiluun artinya. Dan barangsiapa yang Kami panjangkan umurnya niscaya Kami kembalikan dia kepada kejadian(nya) . Maka apakah mereka tidak memikirkan?
",Dan barangsiapa yang Kami panjangkan umurnya niscaya Kami kembalikan dia kepada kejadian(nya) . Maka apakah mereka tidak memikirkan?
"69. Wamaa 'allamnaahu sysyi'ra wamaa yanbaghii lahu in huwa illaa dzikrun waqur-aanun mubiin artinya. Dan Kami tidak mengajarkan syair kepadanya (Muhammad) dan bersyair itu tidaklah layak baginya. Al Qur'an itu tidak lain hanyalah pelajaran dan kitab yang memberi penerangan,
","Dan Kami tidak mengajarkan syair kepadanya (Muhammad) dan bersyair itu tidaklah layak baginya. Al Qur'an itu tidak lain hanyalah pelajaran dan kitab yang memberi penerangan,"
"70. liyundzira man kaana hayyan wayahiqqa lqawlu 'alaa lkaafiriin artinya. supaya dia (Muhammad) memberi peringatan kepada orang-orang yang hidup (hatinya) dan supaya pastilah (ketetapan azab) terhadap orang-orang kafir.
",supaya dia (Muhammad) memberi peringatan kepada orang-orang yang hidup (hatinya) dan supaya pastilah (ketetapan azab) terhadap orang-orang kafir.
"71. Awa lam yaraw annaa khalaqnaa lahum mimmaa 'amilat aydiinaa an'aaman fahum lahaa maalikuun artinya. Dan apakah mereka tidak melihat bahwa sesungguhnya Kami telah menciptakan binatang ternak untuk mereka yaitu sebahagian dari apa yang telah Kami ciptakan dengan kekuasaan Kami sendiri, lalu mereka menguasainya?
","Dan apakah mereka tidak melihat bahwa sesungguhnya Kami telah menciptakan binatang ternak untuk mereka yaitu sebahagian dari apa yang telah Kami ciptakan dengan kekuasaan Kami sendiri, lalu mereka menguasainya?"
"72. Wadzallalnaahaa lahum faminhaa rakuubuhum waminhaa ya'kuluun artinya. Dan Kami tundukkan binatang-binatang itu untuk mereka, maka sebagiannya menjadi tunggangan mereka dan sebagiannya mereka makan.
","Dan Kami tundukkan binatang-binatang itu untuk mereka, maka sebagiannya menjadi tunggangan mereka dan sebagiannya mereka makan."
"73. Walahum fiihaa manaafi'u wamasyaaribu afalaa yasykuruun artinya. Dan mereka memperoleh padanya manfa'at-manfa'at dan minuman. Maka mengapakah mereka tidak bersyukur?
",Dan mereka memperoleh padanya manfa'at-manfa'at dan minuman. Maka mengapakah mereka tidak bersyukur?
"74. wattakhadzuu min duunillaahi aalihatan la'allahum yunsharuun artinya. Mereka mengambil sembahan-sembahan selain Allah agar mereka mendapat pertolongan.
",Mereka mengambil sembahan-sembahan selain Allah agar mereka mendapat pertolongan.
"75. Laa yastathii'uuna nashrahum wahum lahum jundun muhdaruun artinya. Berhala-berhala itu tiada dapat menolong mereka; padahal berhala-berhala itu menjadi tentara yang disiapkan untuk menjaga mereka.
",Berhala-berhala itu tiada dapat menolong mereka; padahal berhala-berhala itu menjadi tentara yang disiapkan untuk menjaga mereka.
"76. Falaa yahzunka qawluhum innaa na'lamu maa yusirruuna wamaa yu'linuun artinya. Maka janganlah ucapan mereka menyedihkan kamu. Sesungguhnya Kami mengetahui apa yang mereka rahasiakan dan apa yang mereka nyatakan.
",Maka janganlah ucapan mereka menyedihkan kamu. Sesungguhnya Kami mengetahui apa yang mereka rahasiakan dan apa yang mereka nyatakan.
"77. a wa lam yaral-insānu annā khalaqnāhu min nuṭfatin fa żā huwa khaṣīmum mubīn artinya. Dan apakah manusia tidak memperhatikan bahwa Kami menciptakannya dari setitik air (mani), maka tiba-tiba ia menjadi penantang yang nyata!
","Dan apakah manusia tidak memperhatikan bahwa Kami menciptakannya dari setitik air (mani), maka tiba-tiba ia menjadi penantang yang nyata!"
"78. Awa lam yaraal insaanu annaa khalaqnaahu min nuthfatin faidzaa huwa khashiimun mubiin artinya. Dan dia membuat perumpamaan bagi Kami; dan dia lupa kepada kejadiannya; ia berkata: ""Siapakah yang dapat menghidupkan tulang belulang, yang telah hancur luluh?""
","Dan dia membuat perumpamaan bagi Kami; dan dia lupa kepada kejadiannya; ia berkata: ""Siapakah yang dapat menghidupkan tulang belulang, yang telah hancur luluh?"""
